start,end,ticker,side,qty,int_sec,len_max,market,note
09:59,11:56,UGLD,sell,43/48/52/54,53,22,TQBR,multi-qty card; -177н..-225н
10:19,11:56,CNRU,buy,10-11,10,295,TQBR,долгожитель
10:39,10:47,NLMK,buy,9-10,6,87,TQBR,
10:00,10:35,ROSN,buy,100,13,5,TQBR,
10:30,11:56,ROSN,buy,64-65,16,88,TQBR,
11:03,11:56,CHMF,sell,57-33,16,138,TQBR,
11:03,11:56,FEES,sell,19-19,16,138,TQBR,
10:44,11:56,GMKN,sell,120-130,30,138,TQBR,
10:39,11:56,GMKN,buy,10-11,1,33,SPBFUT/TQBR,
10:30,11:56,SMLT,sell,1001,319,6,TQBR,long exact qty
11:03,11:56,PLZL,sell,2500,301,6,TQBR,long exact qty
10:30,11:56,MAGN,sell,35,6,54,TQBR,
11:13,11:56,MAGN,sell,68-69,16,60,TQBR,card 2 qty
11:13,11:56,SNGSP,buy,64-65,15,138,TQBR,
10:30,10:35,T,buy,500,118,5,TQBR,
10:29,10:35,GAZP,sell,990,223,4,TQBR,long exact
10:00,10:47,CNY_TOM,buy,500,13,137,CURS,валюта
11:28,11:56,AFKS,buy,198-199,15,138,TQBR,волна3
11:28,11:56,ALRS,buy,414-415,13,138,TQBR,волна3
11:28,11:56,ASTR,buy,209-210,12,138,TQBR,волна3
11:28,11:56,MTLR,buy,1346-1347,13,138,TQBR,волна3
11:28,11:56,NVTK,buy,268-269,16,138,TQBR,волна3
11:28,11:56,OZON,buy,51-52,13,138,TQBR,волна3
11:28,11:56,PHOR,buy,9-10,12,138,TQBR,волна3
11:28,11:56,PIKK,buy,40-41,12,138,TQBR,волна3
11:28,11:56,SVCB,buy,57-58,13,138,TQBR,волна3
11:28,11:56,VKCO,buy,509-510,13,138,TQBR,волна3
11:28,11:56,WUSH,buy,1001-1002,18,138,TQBR,волна3
11:28,11:56,YDEX,buy,66-67,16,138,TQBR,волна3
11:28,11:56,AFLT,sell,240-241,13,138,TQBR,волна3
11:28,11:56,DOMRF,sell,23-24,12,138,TQBR,волна3
11:28,11:56,FLOT,sell,87-88,12,138,TQBR,волна3
11:28,11:56,HEAD,sell,19-20,12,138,TQBR,волна3
11:28,11:56,IRAO,sell,130-131,13,138,TQBR,волна3
11:28,11:56,RTKMP,sell,64-65,12,138,TQBR,волна3
11:28,11:56,RUAL,sell,307-308,13,138,TQBR,волна3
11:28,11:56,SIBN,sell,62-63,13,138,TQBR,волна3
11:28,11:56,SNGS,sell,29-30,13,138,TQBR,волна3
11:28,11:56,T,sell,1405-1406,15,138,TQBR,волна3
11:28,11:56,TATNP,sell,50-51,12,138,TQBR,волна3
11:28,11:56,TRNFP,sell,75-76,12,138,TQBR,волна3
11:49,11:56,GMON,buy,108,264,3,TQBR,long exact
