price;qty;side;trade_time
41.045;15;buy;09:27:15.272
41.045;1;buy;09:27:20.435
41.04;2;buy;09:28:01.828
41.025;18;sell;09:28:16.557
41.025;1;sell;09:28:30.509
41.045;23;buy;09:28:39.345
41.025;10;sell;09:28:57.792
41.025;1;buy;09:29:21.414
41.025;20;buy;09:29:33.522
41.025;1;buy;09:29:42.537
41.015;1;sell;09:30:02.647
41.015;30;sell;09:30:11.390
41.025;1;buy;09:30:20.356
41.025;100;buy;09:30:38.209
41.015;67;sell;09:30:45.635
41.01;67;sell;09:30:47.004
41.01;67;sell;09:30:48.320
41.015;10;buy;09:30:58.077
41.015;200;buy;09:31:00.303
41.01;682;sell;09:31:00.836
41.015;25;buy;09:31:06.261
41.01;18;sell;09:31:12.161
41.015;5;buy;09:31:16.770
41.01;67;sell;09:31:20.150
41.015;5;buy;09:31:22.159
41.01;5;sell;09:31:23.137
41.01;430;sell;09:31:23.936
41.01;5;buy;09:31:25.962
41.01;5;buy;09:31:30.682
41.005;72;sell;09:31:34.749
41.0;4;sell;09:31:35.069
41.01;5;buy;09:31:35.255
41.01;1000;buy;09:31:36.126
41.0;178;sell;09:31:38.383
41.0;5;buy;09:31:39.965
41.0;5;buy;09:31:43.840
41.0;5;buy;09:31:47.156
41.0;5;buy;09:31:50.583
41.0;1;buy;09:31:55.762
41.0;4;buy;09:31:56.146
40.995;1;sell;09:32:05.732
41.0;17;buy;09:32:08.586
41.0;5;buy;09:32:19.431
41.015;5;buy;09:32:22.714
41.015;5;buy;09:32:27.780
41.015;5;buy;09:32:33.137
41.015;5;buy;09:32:39.810
41.015;5;buy;09:32:42.955
41.015;5;buy;09:32:45.848
41.015;5;buy;09:32:51.618
41.015;5;buy;09:32:54.877
41.015;5;buy;09:32:58.049
41.005;1000;sell;09:32:58.328
41.015;5;buy;09:33:01.721
41.015;5;buy;09:33:05.855
41.015;5;buy;09:33:08.989
41.005;1000;sell;09:33:09.872
41.015;1;buy;09:33:26.286
41.015;2;buy;09:33:37.698
41.015;14;buy;09:33:43.163
41.015;30;buy;09:33:49.972
41.0;1;sell;09:33:55.292
41.015;1;buy;09:33:55.475
41.0;122;sell;09:33:56.573
41.01;1;buy;09:34:08.261
41.0;683;sell;09:34:21.473
41.0;19;sell;09:34:21.521
41.0;100;buy;09:34:21.575
41.0;13;buy;09:34:30.140
40.985;62;sell;09:34:39.701
40.98;23;sell;09:34:39.983
40.975;6;sell;09:34:40.629
40.98;1;buy;09:34:46.088
40.975;19;sell;09:34:48.038
40.98;1;buy;09:34:48.148
40.98;3;buy;09:34:48.457
40.975;3;sell;09:35:10.691
40.975;3;sell;09:35:10.767
40.98;80;buy;09:35:15.809
40.98;1;sell;09:35:55.106
40.98;1;sell;09:36:46.687
40.995;4;sell;09:36:54.945
41.01;71;buy;09:37:17.785
41.005;500;buy;09:37:48.931
41.005;1;buy;09:38:17.188
41.005;1;buy;09:38:23.804
41.005;1;buy;09:38:27.283
41.005;1;buy;09:38:34.656
41.0;49;sell;09:38:52.924
41.015;36;buy;09:39:13.908
41.01;1;buy;09:39:23.011
40.995;5;sell;09:39:24.501
40.99;121;sell;09:39:35.621
41.0;1;buy;09:39:41.042
40.98;121;sell;09:39:53.027
41.0;3;buy;09:39:58.132
41.0;5;buy;09:40:08.975
40.98;7;sell;09:40:10.563
40.98;7;sell;09:40:10.578
40.98;15;sell;09:40:10.581
40.995;4;buy;09:40:14.481
40.98;63;sell;09:40:15.142
40.98;121;sell;09:40:15.701
40.99;1;sell;09:40:18.636
40.98;10;sell;09:40:38.240
40.98;119;sell;09:40:38.583
40.98;21;sell;09:41:01.727
40.98;84;sell;09:41:01.734
40.975;3;sell;09:41:01.774
40.975;201;sell;09:41:01.980
40.975;27;sell;09:41:02.022
40.965;122;sell;09:41:02.081
40.965;2;buy;09:41:02.241
40.96;151;sell;09:41:03.080
40.965;5;buy;09:41:03.579
40.965;19;buy;09:41:06.871
40.955;12;sell;09:41:33.855
40.975;60;sell;09:41:47.504
40.99;1;buy;09:41:56.824
40.99;1;sell;09:43:15.866
41.0;100;buy;09:44:04.652
41.0;100;buy;09:45:05.515
41.0;5;buy;09:45:14.526
41.0;2;buy;09:45:32.485
41.0;1;buy;09:45:39.642
40.99;18;sell;09:45:41.027
41.0;1;buy;09:45:45.392
41.0;9;buy;09:45:45.483
41.0;10;buy;09:45:47.646
41.0;1;buy;09:45:50.053
40.985;1;sell;09:46:02.088
40.985;11;sell;09:46:14.113
40.99;1;buy;09:46:24.508
40.99;5;buy;09:46:25.310
40.99;1;buy;09:46:32.625
40.985;407;sell;09:46:53.032
40.99;2;buy;09:47:02.971
41.0;3;buy;09:47:05.916
41.0;23;buy;09:47:10.398
41.01;10;buy;09:47:11.064
41.015;5;buy;09:47:19.140
41.015;1;buy;09:47:28.665
41.015;150;buy;09:47:30.507
41.015;50;buy;09:47:35.096
41.015;50;buy;09:47:45.117
41.015;681;buy;09:47:45.873
41.015;683;buy;09:47:46.973
41.015;122;buy;09:47:47.081
41.015;5;buy;09:47:56.028
41.015;9;buy;09:48:18.537
41.015;30;buy;09:48:19.306
41.01;20;sell;09:48:24.619
41.015;49;buy;09:48:24.793
41.015;5;buy;09:48:35.159
41.015;1;buy;09:48:36.051
41.01;1;sell;09:48:43.264
41.015;20;buy;09:48:58.118
41.015;255;buy;09:49:32.348
41.015;5;buy;09:49:44.519
41.015;1;buy;09:49:45.272
41.015;1;buy;09:49:52.207
41.015;4;buy;09:49:55.571
41.015;1;buy;09:49:56.594
41.015;9;buy;09:50:14.971
41.015;30;buy;09:50:23.383
41.01;1;sell;09:50:31.650
41.01;3;sell;09:50:47.785
41.015;1;buy;09:50:55.395
41.01;683;sell;09:50:58.173
41.01;385;sell;09:51:09.121
41.01;113;sell;09:51:10.582
